# Program:featureCounts v2.0.2; Command:"featureCounts" "-a" "../../07_annotation_final_assembly/final_assembly.gff3" "-o" "read_counts.tsv" "-t" "CDS" "-g" "ID" "-M" "-s" "0" "-T" "8" "mapped.dedup.bam" 
Geneid	Chr	Start	End	Strand	Length	mapped.dedup.bam
OMCOBO_00400	contig_2	380066	380713	+	648	0
OMCOBO_00401	contig_2	381095	381847	+	753	4
OMCOBO_00402	contig_2	381886	382113	+	228	23
OMCOBO_00403	contig_2	382179	383201	-	1023	110
OMCOBO_00404	contig_2	383501	384118	-	618	184
OMCOBO_00405	contig_2	384239	384883	+	645	1
OMCOBO_00406	contig_2	384992	385537	+	546	3
OMCOBO_00407	contig_2	385494	386243	-	750	3
OMCOBO_00408	contig_2	387615	389366	+	1752	7
OMCOBO_00409	contig_2	389360	389665	+	306	0
OMCOBO_00410	contig_2	389680	390432	+	753	3
OMCOBO_00411	contig_2	390429	391631	+	1203	3
OMCOBO_00412	contig_2	391661	392638	+	978	15
OMCOBO_00413	contig_2	392900	393106	+	207	9
OMCOBO_00414	contig_2	393232	393486	-	255	3
OMCOBO_00415	contig_2	393602	394300	-	699	83
OMCOBO_00416	contig_2	394847	395149	+	303	2
OMCOBO_00417	contig_2	395804	396844	-	1041	49
OMCOBO_00418	contig_2	397637	399043	-	1407	10
OMCOBO_00419	contig_2	399040	406437	-	7398	10
OMCOBO_00420	contig_2	406881	407801	-	921	2
OMCOBO_00421	contig_2	408375	409265	+	891	0
OMCOBO_00422	contig_2	409228	409635	-	408	0
OMCOBO_00423	contig_2	409931	412123	+	2193	3
OMCOBO_00424	contig_2	412602	412760	+	159	3
OMCOBO_00425	contig_2	412855	413487	-	633	17
OMCOBO_00426	contig_2	413517	413678	-	162	0
OMCOBO_00427	contig_2	413797	414756	-	960	21
OMCOBO_00428	contig_2	414827	416113	+	1287	5
OMCOBO_00429	contig_2	416124	417545	+	1422	3
OMCOBO_00430	contig_2	417610	418635	+	1026	2
OMCOBO_00431	contig_2	419077	419904	-	828	3
OMCOBO_00432	contig_2	420068	420625	-	558	13
OMCOBO_00433	contig_2	421791	421988	-	198	10
OMCOBO_00434	contig_2	421985	422257	-	273	12
OMCOBO_00435	contig_2	422739	422918	-	180	1
OMCOBO_00437	contig_2	424807	425133	+	327	4
OMCOBO_00438	contig_2	425227	427773	-	2547	104
OMCOBO_00439	contig_2	427827	428681	-	855	81
OMCOBO_00440	contig_2	428947	429273	-	327	2
OMCOBO_00441	contig_2	430264	431601	-	1338	9
OMCOBO_00442	contig_2	431654	431863	-	210	0
OMCOBO_00443	contig_2	431946	442373	-	10428	70
OMCOBO_00444	contig_2	442370	450217	-	7848	17
OMCOBO_00445	contig_2	450341	450541	+	201	0
OMCOBO_00446	contig_2	450787	453507	-	2721	56
OMCOBO_00447	contig_2	453691	456423	-	2733	11
OMCOBO_00448	contig_2	457468	458391	-	924	10
OMCOBO_00449	contig_2	458495	459049	+	555	22
OMCOBO_00450	contig_2	459219	459599	+	381	6
OMCOBO_00451	contig_2	460454	460567	-	114	0
OMCOBO_00452	contig_2	460810	461040	+	231	10
OMCOBO_00453	contig_2	461101	462081	-	981	44
OMCOBO_00454	contig_2	462362	463780	+	1419	0
OMCOBO_00455	contig_2	463777	464262	+	486	5
OMCOBO_00456	contig_2	464505	465203	+	699	139
OMCOBO_00457	contig_2	465616	466215	-	600	43
OMCOBO_00458	contig_2	466300	467232	+	933	11
OMCOBO_00459	contig_2	467606	468316	+	711	15
OMCOBO_00460	contig_2	468686	469126	-	441	2
OMCOBO_00461	contig_2	469158	469889	-	732	6
OMCOBO_00462	contig_2	470162	471838	+	1677	10
OMCOBO_00463	contig_2	471835	473316	+	1482	5
OMCOBO_00464	contig_2	473313	473666	+	354	3
OMCOBO_00465	contig_2	473829	474800	+	972	7
OMCOBO_00466	contig_2	474923	475708	+	786	5
OMCOBO_00467	contig_2	475913	476275	-	363	0
OMCOBO_00468	contig_2	476488	477240	+	753	13
OMCOBO_00469	contig_2	477310	478761	+	1452	14
OMCOBO_00470	contig_2	479124	479363	+	240	2
OMCOBO_00471	contig_2	479353	480744	+	1392	2
OMCOBO_00472	contig_2	480784	481989	+	1206	2
OMCOBO_00473	contig_2	482006	482173	+	168	0
OMCOBO_00474	contig_2	482255	483178	+	924	11
OMCOBO_00475	contig_2	483217	483678	+	462	13
OMCOBO_00476	contig_2	483773	484474	-	702	4
OMCOBO_00477	contig_2	484578	485537	+	960	10
OMCOBO_00478	contig_2	485465	486181	-	717	27
OMCOBO_00479	contig_2	486328	487161	-	834	54
OMCOBO_00480	contig_2	487387	487998	-	612	44
OMCOBO_00481	contig_2	488171	489685	+	1515	106
OMCOBO_00482	contig_2	489814	490764	+	951	76
OMCOBO_00483	contig_2	491128	491751	-	624	19
OMCOBO_00484	contig_2	491824	493653	-	1830	2
OMCOBO_00485	contig_2	493943	494620	-	678	1
OMCOBO_00486	contig_2	494617	495120	-	504	7
OMCOBO_00487	contig_2	495123	496556	-	1434	25
OMCOBO_00488	contig_2	497032	497436	-	405	24
OMCOBO_00489	contig_2	497785	498882	-	1098	166
OMCOBO_00490	contig_2	499003	499608	+	606	58
OMCOBO_00491	contig_2	499866	500492	-	627	61
OMCOBO_00492	contig_2	500717	501166	+	450	9
OMCOBO_00493	contig_2	501620	502567	-	948	10
OMCOBO_00494	contig_2	502612	503508	+	897	7
OMCOBO_00495	contig_2	503587	504519	+	933	18
OMCOBO_00496	contig_2	504701	507472	-	2772	107
